[2465063] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a7e018a0cedfc30] [LocalNewNodeAddr : 0x6a7f818a0cedfb40] [RealNodeAddr : 0x0000000000000000]
[2465064] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a7e018a0cedfc30] [LocalNewNodeAddr : 0x6a7f818a0cedfb40] [RealNodeAddr : 0x6a7e018a0cedfc30]
[2465065] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a7f818a0cedfb40] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfb40]
[2465066] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a7f818a0cedfb40] [LocalNewNodeAddr : 0x6a80018a0cedfbd0] [RealNodeAddr : 0x0000000000000000]
[2465067] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a7f818a0cedfb40] [LocalNewNodeAddr : 0x6a80018a0cedfbd0] [RealNodeAddr : 0x6a7f818a0cedfb40]
[2465068] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a7f018a0cedf8d0] [LocalNewNodeAddr : 0x6a80818a0cedfc30] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465069] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a7f018a0cedf8d0] [LocalNewNodeAddr : 0x6a80818a0cedfc30] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465070] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a80818a0cedfc30] [LocalNewNodeAddr : 0x6a81018a0cedfb40] [RealNodeAddr : 0x0000018a0cedfc30]
[2465071] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a80818a0cedfc30] [LocalNewNodeAddr : 0x6a81018a0cedfb40] [RealNodeAddr : 0x0000018a0cedfc30]
[2465072] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a80018a0cedfbd0] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465073] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a80018a0cedfbd0] [LocalNewNodeAddr : 0x6a81818a0cedfc30] [RealNodeAddr : 0x0000000000000000]
[2465074] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a80018a0cedfbd0] [LocalNewNodeAddr : 0x6a81818a0cedfc30] [RealNodeAddr : 0x6a80018a0cedfbd0]
[2465075] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a81818a0cedfc30] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfc30]
[2465076] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a81818a0cedfc30] [LocalNewNodeAddr : 0x6a82018a0cedf8d0] [RealNodeAddr : 0x0000000000000000]
[2465077] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a81818a0cedfc30] [LocalNewNodeAddr : 0x6a82018a0cedf8d0] [RealNodeAddr : 0x6a81818a0cedfc30]
[2465078] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a81018a0cedfb40] [LocalNewNodeAddr : 0x6a82818a0cedfbd0] [RealNodeAddr : 0x0000018a0cedfb40]
[2465079] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a81018a0cedfb40] [LocalNewNodeAddr : 0x6a82818a0cedfbd0] [RealNodeAddr : 0x0000018a0cedfb40]
[2465080] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a82818a0cedfbd0] [LocalNewNodeAddr : 0x6a83018a0cedfc30] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465081] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a82818a0cedfbd0] [LocalNewNodeAddr : 0x6a83018a0cedfc30] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465082] [Thread ID : 10340] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a82018a0cedf8d0] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465083] [Thread ID : 10340] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a82018a0cedf8d0] [LocalNewNodeAddr : 0x6a83818a0cedfbd0] [RealNodeAddr : 0x0000000000000000]
[2465084] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a84018a0cedfbd0] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465085] [Thread ID : 10340] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a82018a0cedf8d0] [LocalNewNodeAddr : 0x6a83818a0cedfbd0] [RealNodeAddr : 0x6a84018a0cedfbd0]
[2465086] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a84018a0cedfbd0] [LocalNewNodeAddr : 0x6a84018a0cedfb40] [RealNodeAddr : 0x0000000000000000]
[2465087] [Thread ID : 10340] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a83018a0cedfc30] [LocalNewNodeAddr : 0x6a84818a0cedf8d0] [RealNodeAddr : 0x0000018a0cedfc30]
[2465088] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a84018a0cedfbd0] [LocalNewNodeAddr : 0x6a84018a0cedfb40] [RealNodeAddr : 0x6a84018a0cedfbd0]
[2465089] [Thread ID : 10340] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a83018a0cedfc30] [LocalNewNodeAddr : 0x6a84818a0cedf8d0] [RealNodeAddr : 0x0000018a0cedfc30]
[2465090] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a84018a0cedfb40] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfb40]
[2465091] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a84018a0cedfb40] [LocalNewNodeAddr : 0x6a85018a0cedfdb0] [RealNodeAddr : 0x0000000000000000]
[2465092] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a84018a0cedfb40] [LocalNewNodeAddr : 0x6a85018a0cedfdb0] [RealNodeAddr : 0x6a84018a0cedfb40]
[2465093] [Thread ID : 10340] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a84818a0cedf8d0] [LocalNewNodeAddr : 0x6a85818a0cedfbd0] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465094] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a84818a0cedf8d0] [LocalNewNodeAddr : 0x6a86018a0cedfbd0] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465095] [Thread ID : 10340] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a84818a0cedf8d0] [LocalNewNodeAddr : 0x6a85818a0cedfbd0] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465096] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a85818a0cedfbd0] [LocalNewNodeAddr : 0x6a86018a0cedfb40] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465097] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a85818a0cedfbd0] [LocalNewNodeAddr : 0x6a86018a0cedfb40] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465098] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a86018a0cedfb40] [LocalNewNodeAddr : 0x6a86818a0cedfdb0] [RealNodeAddr : 0x0000018a0cedfb40]
[2465099] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a86018a0cedfb40] [LocalNewNodeAddr : 0x6a86818a0cedfdb0] [RealNodeAddr : 0x0000018a0cedfb40]
[2465100] [Thread ID : 10340] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a85018a0cedfdb0] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfdb0]
[2465101] [Thread ID : 10340] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a85018a0cedfdb0] [LocalNewNodeAddr : 0x6a87018a0cedfbd0] [RealNodeAddr : 0x0000000000000000]
[2465102] [Thread ID : 10340] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a85018a0cedfdb0] [LocalNewNodeAddr : 0x6a87018a0cedfbd0] [RealNodeAddr : 0x6a85018a0cedfdb0]
[2465103] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a87018a0cedfbd0] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465104] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a87018a0cedfbd0] [LocalNewNodeAddr : 0x6a87818a0cedfb40] [RealNodeAddr : 0x0000000000000000]
[2465105] [Thread ID : 10340] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a88018a0cedfb40] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfb40]
[2465106] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a87018a0cedfbd0] [LocalNewNodeAddr : 0x6a87818a0cedfb40] [RealNodeAddr : 0x6a88018a0cedfb40]
[2465107] [Thread ID : 10340] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a88018a0cedfb40] [LocalNewNodeAddr : 0x6a88018a0cedf8d0] [RealNodeAddr : 0x0000000000000000]
[2465108] [Thread ID : 10340] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a88018a0cedfb40] [LocalNewNodeAddr : 0x6a88018a0cedf8d0] [RealNodeAddr : 0x6a88018a0cedfb40]
[2465109] [Thread ID : 10340] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a86818a0cedfdb0] [LocalNewNodeAddr : 0x6a88818a0cedfbd0] [RealNodeAddr : 0x0000018a0cedfdb0]
[2465110] [Thread ID : 06988] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a88018a0cedf8d0] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465111] [Thread ID : 10340] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a86818a0cedfdb0] [LocalNewNodeAddr : 0x6a88818a0cedfbd0] [RealNodeAddr : 0x0000018a0cedfdb0]
[2465112] [Thread ID : 06988] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a88018a0cedf8d0] [LocalNewNodeAddr : 0x6a89018a0cedfc30] [RealNodeAddr : 0x0000000000000000]
[2465113] [Thread ID : 06988] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a88018a0cedf8d0] [LocalNewNodeAddr : 0x6a89018a0cedfc30] [RealNodeAddr : 0x6a88018a0cedf8d0]
[2465114] [Thread ID : 10340] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a88818a0cedfbd0] [LocalNewNodeAddr : 0x6a89818a0cedfb40] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465115] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a88818a0cedfbd0] [LocalNewNodeAddr : 0x6a8a018a0cedfb40] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465116] [Thread ID : 10340] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a88818a0cedfbd0] [LocalNewNodeAddr : 0x6a89818a0cedfb40] [RealNodeAddr : 0x0000018a0cedfbd0]
[2465117] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a89818a0cedfb40] [LocalNewNodeAddr : 0x6a8a018a0cedf8d0] [RealNodeAddr : 0x0000018a0cedfb40]
[2465118] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a89818a0cedfb40] [LocalNewNodeAddr : 0x6a8a018a0cedf8d0] [RealNodeAddr : 0x0000018a0cedfb40]
[2465119] [Thread ID : 06988] [Dequeue] [LogicTime : 0] [LocalNodeAddr : 0x6a8a018a0cedf8d0] [LocalNewNodeAddr : 0x6a8a818a0cedfc30] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465120] [Thread ID : 06988] [Dequeue] [LogicTime : 1] [LocalNodeAddr : 0x6a8a018a0cedf8d0] [LocalNewNodeAddr : 0x6a8a818a0cedfc30] [RealNodeAddr : 0x0000018a0cedf8d0]
[2465121] [Thread ID : 10340] [Enqueue] [LogicTime : 0] [LocalNodeAddr : 0x6a89018a0cedfc30] [LocalNewNodeAddr : 0x0000000000000000] [RealNodeAddr : 0x0000018a0cedfc30]
[2465122] [Thread ID : 10340] [Enqueue] [LogicTime : 1] [LocalNodeAddr : 0x6a89018a0cedfc30] [LocalNewNodeAddr : 0x6a8b018a0cedfb40] [RealNodeAddr : 0x0000000000000000]
[2465123] [Thread ID : 10340] [Enqueue] [LogicTime : 2] [LocalNodeAddr : 0x6a89018a0cedfc30] [LocalNewNodeAddr : 0x6a8b018a0cedfb40] [RealNodeAddr : 0x6a89018a0cedfc30]
